"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"59","60000","1446030725663","3721","3721.0","1.9713168187744459","0","1.0","4.0","10.0"
"60","61000","1446030726663","3760","3760.0","2.1127659574468085","0","1.0","4.0","44.0"
"61","62000","1446030727664","4299","4299.0","1.7783177570093458","0","1.0","4.0","8.260000000000218"
"62","63000","1446030728663","4450","4450.0","2.0010552233556105","0","1.0","5.0","15.579999999999927"
"63","64000","1446030729663","3760","3760.0","2.235318791946309","0","1.0","5.0","21.0"
"64","65000","1446030730663","4235","4235.0","2.337018680899733","0","1.0","6.0","27.7800000000002"
"65","66000","1446030731662","4036","4035.9999999999995","1.823220064724919","0","1.0","4.0","12.0"
"66","67000","1446030732663","4282","4282.0","2.3415787559112404","0","1.0","6.0","22.0"
"67","68000","1446030733662","4586","4586.0","2.29153605015674","0","1.0","5.5","21.300000000000182"
"68","69000","1446030734663","3973","3973.0","1.9451833937928256","0","1.0","4.0","16.0"
"69","70000","1446030735663","4251","4251.0","2.1719145855953674","0","1.0","5.0","15.38000000000011"
"70","71000","1446030736663","4217","4217.0","1.7550553223960321","0","1.0","4.0","10.0"
"71","72000","1446030737668","3845","3845.0","1.884788847888479","0","1.0","4.0","11.61999999999989"
"72","73000","1446030738664","4593","4593.0","1.9282571912013537","0","1.0","4.0","10.0"
"73","74000","1446030739663","3726","3726.0","2.1153682418050233","0","1.0","5.0","12.0"
"74","75000","1446030740664","4331","4331.0","1.8294659300184162","0","1.0","4.0","9.860000000000127"
"75","76000","1446030741662","3910","3910.0","1.8431952662721893","0","1.0","4.0","8.0"
"76","77000","1446030742664","4314","4314.0","1.8101077666295058","0","1.0","4.0","11.0"
"77","78000","1446030743665","4207","4207.0","2.186887716654107","0","1.0","5.0","18.0"
"78","79000","1446030744662","4158","4158.0","2.520404342942718","0","1.0","5.0","47.0"
"79","80000","1446030745663","4001","4001.0000000000005","1.9743295019157088","0","1.0","5.0","10.0"
"80","81000","1446030746662","4320","4320.0","2.014145810663765","0","1.0","4.0","11.440000000000055"
"81","82000","1446030747672","4067","4067.0","2.070390206579954","0","1.0","5.0","12.86999999999989"
"82","83000","1446030748663","3846","3846.0","2.467961967755271","0","1.0","5.0","54.0"
"83","84000","1446030749663","4005","4005.0","2.6715415019762845","0","1.0","6.0","49.0"
"84","85000","1446030750662","4058","4058.0","1.891571032845271","0","1.0","4.0","11.739999999999782"
"85","86000","1446030751664","4193","4193.0","2.161327672713238","0","1.0","5.0","15.0"
"86","87000","1446030752663","4187","4187.0","2.212798182506626","0","1.0","4.0","32.0"
"87","88000","1446030753663","3566","3566.0","2.1219624025676294","0","1.0","5.0","14.0"
"88","89000","1446030754664","4050","4050.0","2.03401623502126","0","1.0","5.0","12.0"
"89","90000","1446030755664","4028","4027.9999999999995","1.772493063812921","0","1.0","4.0","8.0"
"90","91000","1446030756663","3905","3905.0","2.0416666666666665","0","1.0","4.0","29.01000000000022"
"91","92000","1446030757664","4065","4065.0000000000005","1.9034986543637062","0","1.0","5.0","11.0"
"92","93000","1446030758664","4386","4386.0","2.2086021505376343","0","1.0","5.0","20.0"
"93","94000","1446030759664","4283","4283.0","1.7828153564899452","0","1.0","4.0","9.0"
"94","95000","1446030760663","4010","4010.0","2.1272365805168985","0","1.0","5.0","17.860000000000127"
"95","96000","1446030761664","3950","3950.0","2.1885576148267525","0","1.0","5.0","21.0"
"96","97000","1446030762665","4041","4041.0000000000005","2.402727637384677","0","1.0","5.0","30.159999999999854"
"97","98000","1446030763668","4299","4299.0","2.5368382080710847","0","1.0","5.0","46.0"
"98","99000","1446030764664","4280","4280.0","2.3592770195499817","0","1.0","5.0","35.0"
