"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"58","59000","1446027048702","272","272.0","5874.801470588235","0","5923.0","6004.0","6009.95"
"59","60000","1446027049698","298","298.0","6112.349693251534","0","6126.0","6359.3","6369.0"
"60","61000","1446027050698","264","264.0","6329.288888888889","0","6312.0","6522.0","6528.0"
"61","62000","1446027051698","561","561.0","6261.624697336561","0","6320.0","6472.0","6511.88"
"62","63000","1446027052698","506","506.0","5817.28328611898","0","5831.0","5986.8","6003.4400000000005"
"63","64000","1446027053698","424","424.0","5509.163043478261","0","5511.5","5966.25","5984.0"
"64","65000","1446027054698","476","476.0","5089.119047619048","0","5164.0","5327.45","5356.14"
"65","66000","1446027055699","422","422.0","4402.722222222223","0","4345.0","4612.65","4620.69"
"66","67000","1446027056698","573","573.0","4557.405263157894","0","4576.5","4750.0","4757.0"
"67","68000","1446027057698","379","379.0","4602.528455284553","0","4543.5","4828.0","4831.55"
"68","69000","1446027058706","563","563.0","4458.148051948052","0","4369.0","4728.0","4745.32"
"69","70000","1446027059697","421","421.0","4395.93536121673","0","4351.0","4597.0","4625.76"
"70","71000","1446027060699","541","541.0","4331.411764705882","0","4303.0","4599.15","4657.0"
"71","72000","1446027061698","357","357.0","4631.888429752066","0","4690.0","4811.95","4815.0"
"72","73000","1446027062698","454","454.0","4453.017793594306","0","4404.0","4683.0","4698.2"
"73","74000","1446027063698","455","455.0","4699.51048951049","0","4696.5","4864.0","4870.3"
"74","75000","1446027064697","502","502.0","4608.040752351098","0","4589.0","4849.1","4856.0"
"75","76000","1446027065697","314","314.0","4955.816513761468","0","4998.0","5093.15","5113.280000000001"
"76","77000","1446027066709","532","532.0","4724.0686567164175","0","4657.0","5048.3","5060.66"
"77","78000","1446027067698","369","369.0","4940.77366255144","0","4954.0","5049.9","5064.0"
"78","79000","1446027068703","442","442.0","4772.452898550725","0","4739.0","4913.25","4919.0"
"79","80000","1446027069704","507","507.0","4933.915662650603","0","4950.0","5096.0","5102.0"
"80","81000","1446027070697","384","384.0","4496.876494023904","0","4513.0","4547.0","4756.0"
"81","82000","1446027071698","289","289.0","5137.807692307692","0","5144.0","5240.0","5246.0"
"82","83000","1446027072698","398","398.0","5051.681102362205","0","4986.5","5318.7","5346.88"
"83","84000","1446027073698","484","484.0","5264.824451410658","0","5259.0","5350.1","5363.0"
"84","85000","1446027074698","390","390.0","5073.130612244898","0","5088.0","5254.6","5350.24"
"85","86000","1446027075698","438","438.0","5461.094890510949","0","5469.5","5537.0","5545.0"
"86","87000","1446027076698","389","389.0","5024.17803030303","0","4933.0","5431.7","5506.0"
"87","88000","1446027077699","411","411.0","5033.934108527132","0","5052.0","5131.15","5138.0"
"88","89000","1446027078698","383","383.0","4999.617886178862","0","5026.5","5143.0","5154.1"
"89","90000","1446027079698","520","520.0","5093.56432748538","0","5099.0","5203.95","5211.0"
"90","91000","1446027080698","346","346.0","4949.555066079295","0","5012.0","5135.0","5153.88"
"91","92000","1446027081698","418","418.0","5210.541353383459","0","5246.0","5312.5","5336.35"
"92","93000","1446027082706","274","274.0","5299.892045454545","0","5337.0","5423.25","5430.5"
"93","94000","1446027083698","487","487.0","5246.960244648318","0","5329.0","5387.1","5401.0"
"94","95000","1446027084698","347","347.0","5258.904545454546","0","5310.0","5355.1","5380.72"
"95","96000","1446027085698","405","405.0","5402.328063241107","0","5400.0","5521.4","5593.48"
"96","97000","1446027086698","236","236.0","5765.194805194805","0","5790.0","5827.7","5844.47"
"97","98000","1446027087699","476","476.0","5635.0","0","5697.0","5745.0","5768.0"
"98","99000","1446027088698","358","358.0","5578.226086956522","0","5566.5","5688.0","5703.71"
"99","100000","1446027089698","456","456.0","5564.503355704698","0","5582.5","5665.0","5674.0"
"100","101000","1446027090698","344","344.0","5653.5952380952385","0","5652.0","5726.0","5747.91"
"101","102000","1446027091697","369","369.0","5389.120331950207","0","5542.0","5709.0","5718.8"
"102","103000","1446027092699","399","399.0","5392.973584905661","0","5412.0","5472.6","5535.36"
"103","104000","1446027093697","431","431.0","5181.914089347079","0","5163.0","5385.0","5401.0"
"104","105000","1446027094698","345","345.0","5384.004587155963","0","5372.0","5507.6","5515.66"
"105","106000","1446027095697","305","305.0","5438.376963350785","0","5469.0","5559.0","5567.4"
"106","107000","1446027096698","443","443.0","5593.28813559322","0","5596.0","5666.3","5673.06"
"107","108000","1446027097698","295","295.0","5546.274611398963","0","5563.0","5645.0","5683.84"
"108","109000","1446027098697","380","380.0","5741.065306122449","0","5762.0","5819.8","5823.0"
"109","110000","1446027099697","290","290.0","6094.836734693878","0","6177.0","6279.0","6286.25"
"110","111000","1446027100697","400","400.0","5953.232","0","5918.0","6246.55","6250.51"
"111","112000","1446027101698","279","279.0","6102.808139534884","0","6027.5","6285.45","6292.0"
"112","113000","1446027102698","346","346.0","6042.142857142857","0","6039.5","6115.85","6143.0"
"113","114000","1446027103697","328","328.0","6201.665198237885","0","6203.0","6398.4","6451.74"
"114","115000","1446027104698","323","323.0","6038.980392156863","0","6041.5","6150.0","6179.91"
