"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"58","59000","1445964549136","481","481.0","5171.2861111111115","0","5163.0","5355.0","5363.0"
"59","60000","1445964550136","390","390.0","5119.0408921933085","0","5075.0","5290.6","5306.0"
"60","61000","1445964551134","546","546.0","5172.762032085561","0","5247.5","5315.35","5321.27"
"61","62000","1445964552134","436","436.0","4948.383900928792","0","4981.0","5054.0","5060.78"
"62","63000","1445964553136","516","516.0","4813.3353115727","0","4792.0","5039.4","5051.0"
"63","64000","1445964554136","371","371.0","4856.775590551181","0","4892.0","4967.0","4974.47"
"64","65000","1445964555137","556","556.0","4538.580729166667","0","4464.5","4841.0","4883.51"
"65","66000","1445964556138","433","433.0","4651.264604810996","0","4669.0","4743.0","4749.1"
"66","67000","1445964557135","627","627.0","4367.503448275862","0","4361.0","4548.0","4571.32"
"67","68000","1445964558134","461","461.0","4226.751700680272","0","4160.5","4459.35","4471.07"
"68","69000","1445964559135","449","449.0","4121.142372881356","0","4113.0","4180.0","4281.36"
"69","70000","1445964560135","575","575.0","4214.614427860696","0","4153.0","4421.0","4432.99"
"70","71000","1445964561135","463","463.0","4142.255663430421","0","4119.0","4361.2","4367.0"
"71","72000","1445964562136","654","654.0","4177.558620689655","0","4159.0","4359.3","4375.0"
"72","73000","1445964563135","395","395.0","4176.58203125","0","4135.0","4372.25","4384.45"
"73","74000","1445964564134","637","637.0","4055.862385321101","0","4038.0","4344.25","4361.3"
"74","75000","1445964565135","490","490.0","4035.631097560976","0","4016.0","4179.0","4245.73"
"75","76000","1445964566135","618","618.0","4029.4856459330144","0","4035.0","4105.0","4113.0"
"76","77000","1445964567138","419","419.0","4109.06462585034","0","4101.0","4238.35","4242.0"
"77","78000","1445964568135","695","695.0","4022.168399168399","0","4021.0","4084.0","4088.2"
"78","79000","1445964569136","414","414.0","4177.2947368421055","0","4188.0","4293.0","4301.4800000000005"
"79","80000","1445964570137","590","590.0","3993.0687203791467","0","3995.0","4062.95","4074.0"
"80","81000","1445964571135","530","530.0","4074.684065934066","0","4027.5","4245.0","4249.37"
"81","82000","1445964572135","449","449.0","3987.8947368421054","0","3966.0","4230.85","4241.97"
"82","83000","1445964573136","504","504.0","4235.685294117647","0","4166.5","4447.0","4451.0"
"83","84000","1445964574134","369","369.0","4271.148148148148","0","4191.0","4610.0","4613.58"
"84","85000","1445964575136","575","575.0","4579.9478908188585","0","4603.0","4721.0","4737.9400000000005"
"85","86000","1445964576134","434","434.0","4418.275510204082","0","4407.5","4567.0","4581.07"
"86","87000","1445964577135","560","560.0","4445.229508196721","0","4338.0","4685.75","4698.35"
"87","88000","1445964578135","345","345.0","4567.906666666667","0","4608.0","4778.8","4785.0"
"88","89000","1445964579135","558","558.0","4447.149870801034","0","4375.0","4780.0","4797.14"
"89","90000","1445964580136","404","404.0","4586.604743083004","0","4662.0","4792.4","4800.48"
"90","91000","1445964581135","570","570.0","4574.553524804178","0","4538.0","4758.0","4764.18"
"91","92000","1445964582135","383","383.0","4863.792156862745","0","4874.0","4940.0","4947.46"
"92","93000","1445964583136","490","490.0","4568.142424242425","0","4517.0","4844.0","4850.71"
"93","94000","1445964584135","425","425.0","4748.982142857143","0","4743.0","4833.0","4846.0"
"94","95000","1445964585134","488","488.0","4511.859237536657","0","4496.0","4606.0","4667.4"
"95","96000","1445964586135","221","221.0","5277.171779141105","0","5304.0","5334.0","5341.0"
